Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Votes
30,120,-46.63566667,-23.58516667,259,70,1,0,0,0,0,3,4.6,58
30,120,-46.746958,-23.609207,1171,120,1,0,0,0,0,4,4.1,11
216,3,-84.221535,31.610387,171,25,2,0,0,0,0,2,3.3,35
216,3,-84.207095,31.608743,11,10,2,0,0,0,0,1,3.3,25
216,3,-84.2194,31.6158,1212,0,2,0,0,0,0,1,3.4,45
216,3,-84.206944,31.622412,618,10,2,0,0,0,0,1,3.4,26
216,3,-84.2193,31.616,828,10,2,0,0,0,0,1,3.5,67
216,3,-84.2091458,31.6155186,129,10,2,0,0,0,0,1,3.9,141
216,3,-84.205718,31.604905,1620,25,2,0,0,0,0,2,3.7,147
216,3,-84.223278,31.612121,1748,70,2,0,0,0,0,4,3.5,51
216,3,-84.2191,31.6156,581,25,2,0,0,0,0,2,3.6,88
216,3,-84.212,31.6104,497,10,2,0,0,0,0,1,3.8,153
216,3,-84.2228,31.6077,35,25,2,0,0,0,0,2,3.5,57
216,3,-84.2229,31.6185,102,25,2,0,0,0,0,2,3.5,58
216,3,-84.2164,31.6137,1125,40,2,0,0,0,0,3,3.6,115
216,3,-84.2233,31.6118,1125,40,2,0,0,0,0,3,3.5,51
216,3,-84.205025,31.605882,1694,40,2,0,0,0,0,3,3.8,250
216,3,-84.1757,31.5985,1098,10,2,0,0,0,0,1,3.7,117
216,3,-83.8389,31.5308,24,10,2,0,0,0,0,1,3.4,20
14,7,151.6688792,-30.5147169,222,20,2,0,0,0,0,2,3.5,25
216,8,-83.378273,33.957999,101,40,2,0,0,0,0,3,4.5,1821
216,8,-83.3654,33.9535,1738,10,2,0,0,0,0,1,4.5,849
216,8,-83.4293,33.9652,1212,10,2,0,0,0,0,1,4.6,917
216,8,-83.3389,33.9259,1122,10,2,0,0,0,0,1,3.9,439
216,8,-83.375523,33.958198,270,10,2,0,0,0,0,1,3.7,289
216,8,-83.384004,33.959392,282,10,2,0,0,0,0,1,4.3,558
216,8,-83.3797,33.9584,35,10,2,0,0,0,0,1,4.2,613
216,8,-83.373596,33.958112,78,25,2,0,0,0,0,2,4.0,353
216,8,-83.33995,33.924275,78,25,2,0,0,0,0,2,4.1,387
216,8,-83.3872482,33.9415545,6,40,2,0,0,0,0,3,4.3,755
216,8,-83.381625,33.960112,1028,10,2,0,0,0,0,1,4.2,800
216,8,-83.400887,33.963296,1662,10,2,0,0,0,0,1,4.1,350
216,8,-83.4075,33.9584,1031,40,2,0,0,0,0,3,4.1,464
216,8,-83.379251,33.957503,140,25,2,0,0,0,0,2,4.2,550
216,8,-83.383605,33.960571,1230,10,2,0,0,0,0,1,4.1,543
216,8,-83.37967,33.959468,1027,40,2,0,0,0,0,3,4.1,465
216,8,-83.38728,33.937502,217,10,2,0,0,0,0,1,4.4,546
216,8,-83.3764,33.9584,1104,10,2,0,0,0,0,1,4.4,1098
216,8,-83.378881,33.958363,300,25,2,0,0,0,0,2,4.2,579
216,8,-83.3828224,33.9600227,779,10,2,0,0,0,0,1,4.1,374
216,10,-82.0865,33.4721,585,40,2,0,0,0,0,3,4.6,717
216,10,-82.0698,33.4791,37,40,2,0,0,0,0,3,4.9,548
216,10,-81.97,33.4765,1029,25,2,0,0,0,0,2,4.5,631
216,10,-81.9684,33.474,787,10,2,0,0,0,0,1,3.9,372
216,10,-81.973006,33.477444,29,25,2,0,0,0,0,2,3.9,201
216,10,-81.965571,33.481779,277,40,2,0,0,0,0,3,3.8,332
216,10,-82.0327,33.4086,168,25,2,0,0,0,0,2,3.5,304
216,10,-81.974944,33.478231,6,40,2,0,0,0,0,3,4.3,368
216,10,-82.096,33.4827,778,25,2,0,0,0,0,2,4.1,430
216,10,-81.9721,33.4778,1104,25,2,0,0,0,0,2,4.4,433
216,10,-81.9694,33.4764,1212,10,2,0,0,0,0,1,4.0,380
216,10,-82.0505,33.5133,220,25,2,0,0,0,0,2,4.0,456
216,10,-82.0301,33.4848,1228,40,2,0,0,0,0,3,4.2,647
216,10,-82.080788,33.467201,1743,40,2,0,0,0,0,3,4.0,360
216,10,-82.0805493,33.5375868,995,25,2,0,0,0,0,2,4.0,227
216,10,-82.143793,33.544342,924,25,2,0,0,0,0,2,3.9,290
216,10,-82.126161,33.532249,1818,10,2,0,0,0,0,1,4.1,270
216,10,-82.141284,33.521291,326,25,2,0,0,0,0,2,4.0,326
216,10,-82.1328,33.5406,1795,35,2,0,0,0,0,3,4.3,317
216,10,-82.1997,33.4574,1212,10,2,0,0,0,0,1,4.2,300
14,12,115.9844924,-33.7845269,1270,20,2,0,0,0,0,2,3.2,21
14,15,146.685852,-36.360439,1619,20,2,0,0,0,0,2,4.6,237
216,20,-116.2019,43.6138,18,25,2,0,0,0,0,2,4.5,879
216,20,-116.203466,43.616068,1098,25,2,0,0,0,0,2,4.6,615
216,20,-116.2023,43.6149,282,25,2,0,0,0,0,2,4.5,879
216,20,-116.2064,43.6157,98,70,2,0,0,0,0,4,3.9,379
216,20,-116.2031,43.614,826,10,2,0,0,0,0,1,4.3,303
216,20,-116.185034,43.597235,1169,70,2,0,0,0,0,4,4.1,538
216,20,-116.2062,43.5945,35,10,2,0,0,0,0,1,4.2,334
216,20,-116.2022,43.6167,18,25,2,0,0,0,0,2,4.3,555
216,20,-116.193409,43.610279,29,10,2,0,0,0,0,1,4.4,823
216,20,-116.2625,43.6192,1618,25,2,0,0,0,0,2,4.1,550
216,20,-116.202845,43.616295,29,25,2,0,0,0,0,2,4.4,650
216,20,-116.199,43.615,1618,10,2,0,0,0,0,1,4.3,410
216,20,-116.2463,43.6191,1212,10,2,0,0,0,0,1,4.4,660
216,20,-116.245165,43.6051379,1108,25,2,0,0,0,0,2,4.4,360
